temperature_c,building_sqm,occupancy_pct,is_weekday,energy_kwh
51.3,355.8,78.9,0,658.6
49.5,186.9,125.6,1,634.62
68.6,336.9,100.3,1,590.08
58.6,159.8,141.8,1,554.7
63.9,165.0,140.2,0,781.91
30.5,474.5,138.5,1,596.7
89.9,267.5,60.2,1,518.09
47.5,195.9,184.9,0,899.12
83.1,115.5,60.9,1,498.83
75.4,72.2,179.6,1,797.94
48.1,221.6,162.6,1,636.31
66.1,477.9,78.5,0,692.87
80.4,281.1,83.9,0,687.0
32.1,417.9,151.6,1,634.94
74.3,314.9,181.5,0,1004.09
37.6,166.8,143.1,0,691.44
72.2,56.4,149.4,0,858.92
88.1,111.4,107.1,1,727.14
32.5,349.6,82.7,0,574.21
86.4,418.3,165.5,1,854.7
